距	㇑㇕㇐㇑㇐㇑㇀㇐㇕㇐㇗
主	㇔㇐㇐㇑㇐
单	㇔㇓㇑㇕㇐㇐㇐㇑
位	㇓㇑㇔㇐㇔㇓㇐
要	㇐㇑㇕㇑㇑㇐㇛㇓㇐
改	㇕㇐㇙㇓㇐㇓㇏
善	㇔㇓㇐㇐㇐㇑㇔㇓㇐㇑㇕㇐
找	㇐㇚㇀㇐㇂㇓㇔
种	㇓㇐㇑㇓㇔㇑㇕㇐㇑
之	㇔㇇㇏
前	㇔㇓㇐㇑㇆㇐㇐㇑㇚
看	㇓㇐㇐㇓㇑㇕㇐㇐㇐
评	㇔㇊㇐㇔㇓㇐㇑
论	㇔㇊㇓㇏㇓㇟
少	㇑㇓㇔㇓
因	㇑㇕㇐㇓㇔㇐
为	㇔㇓㇆㇔
此	㇑㇐㇑㇀㇓㇟
图	㇑㇕㇓㇇㇏㇔㇔㇐
方	㇔㇐㇆㇓
信	㇓㇑㇔㇐㇐㇐㇑㇕㇐
邪	㇐㇜㇚㇓㇡㇑
定	㇔㇔㇇㇐㇑㇐㇓㇏
果	㇑㇕㇐㇐㇐㇑㇓㇏
然	㇓㇇㇔㇔㇐㇓㇏㇔㇔㇔㇔㇔
群	㇕㇐㇐㇓㇑㇕㇐㇔㇓㇐㇐㇐㇑
众	㇓㇏㇓㇔㇓㇏
眼	㇑㇕㇐㇐㇐㇕㇐㇐㇙㇓㇏
睛	㇑㇕㇐㇐㇐㇐㇐㇑㇐㇑㇆㇐㇐
雪	㇐㇔㇇㇑㇔㇔㇔㇔㇕㇐㇐
亮	㇔㇐㇑㇕㇐㇔㇇㇓㇈
堂	㇑㇔㇓㇔㇇㇑㇕㇐㇐㇑㇐
可	㇐㇑㇕㇐㇚
到	㇐㇜㇔㇐㇑㇀㇑㇚
楼	㇐㇑㇓㇔㇔㇓㇐㇑㇓㇏㇛㇓㇐
层	㇕㇐㇓㇐㇐㇜㇔
真	㇐㇑㇑㇕㇐㇐㇐㇐㇓㇔
股	㇓㇆㇐㇐㇓㇅㇇㇏
强	㇕㇐㇉㇑㇕㇐㇑㇕㇐㇑㇐㇔
烈	㇐㇓㇇㇔㇑㇚㇔㇔㇔㇔
尿	㇕㇐㇓㇚㇇㇓㇏
味	㇑㇕㇐㇐㇐㇑㇓㇏
底	㇔㇐㇓㇓㇙㇐㇂㇔
什	㇓㇑㇐㇑
么	㇓㇜㇔
发	㇜㇓㇇㇏㇔
现	㇐㇐㇑㇀㇑㇕㇓㇟
根	㇐㇑㇓㇔㇕㇐㇐㇙㇓㇏
本	㇐㇑㇓㇏㇐
没	㇔㇔㇀㇓㇅㇇㇏
打	㇐㇚㇀㇐㇚
扫	㇐㇚㇀㇕㇐㇐
客	㇔㇔㇇㇓㇇㇏㇑㇕㇐
面	㇐㇓㇑㇕㇑㇑㇐㇐㇐
包	㇓㇆㇕㇐㇟
用	㇓㇆㇐㇐㇑
过	㇐㇚㇔㇔㇋㇏
牙	㇐㇜㇚㇓
刷	㇕㇐㇓㇑㇆㇑㇑㇚
给	㇜㇜㇀㇓㇏㇐㇑㇕㇐
换	㇐㇚㇀㇓㇇㇑㇕㇐㇓㇏
隔	㇡㇑㇐㇑㇕㇐㇑㇆㇔㇓㇐㇑
天	㇐㇐㇓㇏
赶	㇐㇑㇐㇑㇐㇓㇏㇐㇐㇑
紧	㇑㇑㇇㇏㇜㇜㇔㇚㇓㇔
搬	㇐㇚㇀㇓㇓㇆㇔㇐㇔㇓㇅㇇㇏
走	㇐㇑㇐㇑㇐㇓㇏
置	㇑㇕㇑㇑㇐㇐㇑㇑㇕㇐㇐㇐㇐
基	㇐㇑㇑㇐㇐㇐㇓㇏㇐㇑㇐
算	㇓㇐㇔㇓㇐㇔㇑㇕㇐㇐㇐㇐㇓㇑
老	㇐㇑㇐㇓㇓㇟
五	㇐㇑㇕㇐
星	㇑㇕㇐㇐㇓㇐㇐㇑㇐
级	㇜㇜㇀㇓㇋㇏
中	㇑㇕㇐㇑
等	㇓㇐㇔㇓㇐㇔㇐㇑㇐㇐㇚㇔
气	㇓㇐㇐㇈
派	㇔㇔㇀㇓㇓㇓㇙㇓㇏
各	㇓㇇㇏㇑㇕㇐
齐	㇔㇐㇓㇏㇓㇑
全	㇓㇏㇐㇐㇑㇐
厅	㇐㇓㇐㇚
日	㇑㇕㇐㇐
式	㇐㇐㇑㇀㇂㇔
自	㇓㇑㇕㇐㇐㇐
助	㇑㇕㇐㇐㇀㇆㇓
生	㇓㇐㇐㇑㇐
意	㇔㇐㇔㇓㇐㇑㇕㇐㇐㇔㇂㇔㇔
火	㇔㇓㇓㇏
爆	㇔㇓㇓㇔㇑㇕㇐㇐㇐㇑㇑㇐㇓㇏㇚㇔㇀㇓㇔
需	㇐㇔㇇㇑㇔㇔㇔㇔㇐㇓㇑㇆㇑㇑
预	㇇㇔㇇㇚㇐㇓㇑㇕㇓㇔
约	㇜㇜㇀㇓㇆㇔
态	㇐㇓㇏㇔㇔㇂㇔㇔
度	㇔㇐㇓㇐㇑㇑㇐㇇㇏
错	㇓㇐㇐㇐㇙㇐㇑㇑㇐㇑㇕㇐㇐
礼	㇔㇇㇑㇔㇟
宾	㇔㇔㇇㇓㇑㇐㇑㇐㇓㇔
部	㇔㇐㇔㇓㇐㇑㇕㇐㇡㇑
赞	㇓㇐㇑㇐㇓㇙㇓㇐㇑㇐㇓㇟㇑㇕㇓㇔
个	㇓㇏㇑
化	㇓㇑㇓㇟
严	㇐㇑㇑㇔㇓㇐㇓
重	㇓㇐㇑㇕㇐㇐㇑㇐㇐
新	㇔㇐㇔㇓㇐㇐㇚㇓㇔㇓㇓㇐㇑
装	㇔㇀㇑㇐㇑㇐㇔㇐㇓㇙㇓㇏
修	㇓㇑㇑㇓㇇㇏㇓㇓㇓
每	㇓㇐㇗㇆㇔㇐㇔
浴	㇔㇔㇀㇓㇔㇓㇏㇑㇕㇐
缸	㇓㇐㇐㇑㇗㇑㇐㇑㇐
淋	㇔㇔㇀㇐㇑㇓㇔㇐㇑㇓㇏
拿	㇓㇏㇐㇑㇕㇐㇓㇐㇐㇚
儿	㇓㇟
童	㇔㇐㇔㇓㇐㇑㇕㇐㇐㇑㇐㇐
洗	㇔㇔㇀㇓㇐㇑㇐㇓㇟
澡	㇔㇔㇀㇑㇕㇐㇑㇕㇐㇑㇕㇐㇐㇑㇓㇏
质	㇓㇓㇐㇑㇑㇕㇓㇔
量	㇑㇕㇐㇐㇐㇑㇕㇐㇐㇑㇐㇐
好	㇛㇓㇐㇇㇚㇐
免	㇓㇇㇑㇕㇐㇓㇟
费	㇕㇐㇉㇓㇑㇑㇕㇓㇔
剃	㇔㇓㇕㇐㇉㇑㇓㇑㇚
须	㇓㇓㇓㇐㇓㇑㇕㇓㇔
刀	㇆㇓
调	㇔㇊㇓㇆㇐㇑㇐㇑㇕㇐
问	㇔㇑㇆㇑㇕㇐
题	㇑㇕㇐㇐㇐㇑㇐㇓㇏㇐㇓㇑㇕㇓㇔
噪	㇑㇕㇐㇑㇕㇐㇑㇕㇐㇑㇕㇐㇐㇑㇓㇏
音	㇔㇐㇔㇓㇐㇑㇕㇐㇐
兰	㇔㇓㇐㇐㇐
亭	㇔㇐㇑㇕㇐㇔㇇㇐㇚
外	㇓㇇㇔㇑㇔
国	㇑㇕㇐㇐㇑㇐㇔㇐
人	㇓㇏
太	㇐㇓㇏㇔
黑	㇑㇕㇔㇓㇐㇑㇐㇐㇔㇔㇔㇔
朋	㇓㇆㇐㇐㇓㇆㇐㇐
友	㇐㇓㇇㇏
确	㇐㇓㇑㇕㇐㇓㇇㇓㇆㇐㇐㇑
认	㇔㇊㇓㇏
机	㇐㇑㇓㇔㇓㇈
速	㇐㇑㇕㇐㇑㇓㇔㇔㇋㇏
交	㇔㇐㇓㇔㇓㇏
通	㇇㇔㇑㇆㇐㇐㇑㇔㇋㇏
临	㇑㇑㇓㇐㇔㇑㇕㇑㇐
使	㇓㇑㇐㇑㇕㇐㇓㇏
馆	㇓㇇㇙㇔㇔㇇㇑㇕㇐㇕㇐
区	㇐㇓㇔㇗
公	㇓㇏㇜㇔
标	㇐㇑㇓㇔㇐㇐㇚㇓㇔
档	㇐㇑㇓㇔㇑㇔㇓㇕㇐㇐
品	㇑㇕㇐㇑㇕㇐㇑㇕㇐
环	㇐㇐㇑㇀㇐㇓㇑㇔
境	㇐㇑㇀㇔㇐㇔㇓㇐㇑㇕㇐㇐㇓㇟
优	㇓㇑㇐㇓㇟㇔
雅	㇐㇜㇚㇓㇓㇑㇔㇐㇐㇐㇑㇐
马	㇕㇉㇐
河	㇔㇔㇀㇐㇑㇕㇐㇚
畔	㇑㇕㇐㇑㇐㇔㇓㇐㇐㇑
绿	㇜㇜㇀㇕㇐㇐㇚㇔㇀㇓㇏
色	㇓㇇㇕㇑㇐㇟
道	㇔㇓㇐㇓㇑㇕㇐㇐㇐㇔㇋㇏
非	㇑㇐㇐㇐㇑㇐㇐㇐
常	㇑㇔㇓㇔㇇㇑㇕㇐㇑㇆㇑
舒	㇓㇔㇐㇐㇑㇑㇕㇐㇇㇔㇇㇚
适	㇓㇐㇑㇑㇕㇐㇔㇋㇏
消	㇔㇔㇀㇑㇔㇓㇑㇆㇐㇐
电	㇑㇕㇐㇐㇟
梯	㇐㇑㇓㇔㇔㇓㇕㇐㇉㇑㇓
卡	㇑㇐㇐㇑㇔
又	㇇㇏
配	㇐㇑㇕㇓㇗㇐㇐㇕㇐㇟
两	㇐㇑㇆㇓㇔㇓㇔
张	㇕㇐㇉㇓㇐㇙㇏
收	㇙㇑㇓㇐㇓㇏
坑	㇐㇑㇀㇔㇐㇓㇈
叫	㇑㇕㇐㇙㇑
送	㇔㇓㇐㇐㇓㇔㇔㇋㇏
告	㇓㇐㇑㇐㇑㇕㇐
诉	㇔㇊㇓㇓㇐㇑㇔
涤	㇔㇔㇀㇓㇇㇏㇐㇚㇓㇔
他	㇓㇑㇆㇑㇟
们	㇓㇑㇔㇑㇆
扣	㇐㇚㇀㇑㇕㇐
我	㇓㇐㇚㇀㇂㇓㇔
元	㇐㇐㇓㇟
挺	㇐㇚㇀㇓㇐㇑㇐㇋㇏
霸	㇐㇔㇇㇑㇔㇔㇔㇔㇐㇑㇑㇐㇑㇕㇐㇐㇑㇓㇆㇐㇐
王	㇐㇐㇑㇐
条	㇓㇇㇏㇐㇚㇓㇔
说	㇔㇊㇔㇓㇑㇕㇐㇓㇟
第	㇓㇐㇔㇓㇐㇔㇕㇐㇉㇑㇓
继	㇜㇜㇀㇔㇓㇐㇑㇓㇔㇗
晕	㇑㇕㇐㇐㇔㇇㇐㇜㇐㇑
死	㇐㇓㇇㇔㇓㇟
旧	㇑㇑㇕㇐㇐
而	㇐㇓㇑㇆㇑㇑
且	㇑㇕㇐㇐㇐
总	㇔㇓㇑㇕㇐㇔㇂㇔㇔
难	㇇㇔㇓㇑㇔㇐㇐㇐㇑㇐
闻	㇔㇑㇆㇐㇑㇑㇐㇐㇐
晚	㇑㇕㇐㇐㇓㇇㇑㇕㇐㇓㇟
睡	㇑㇕㇐㇐㇐㇓㇐㇑㇐㇑㇑㇐㇐
时	㇑㇕㇐㇐㇐㇚㇔
候	㇓㇑㇑㇕㇐㇓㇐㇐㇓㇏
最	㇑㇕㇐㇐㇐㇑㇑㇐㇐㇀㇇㇏
痛	㇔㇐㇓㇔㇀㇇㇔㇑㇆㇐㇐㇑
苦	㇐㇑㇑㇐㇑㇑㇕㇐
把	㇐㇚㇀㇕㇑㇐㇟
香	㇓㇐㇑㇓㇏㇑㇕㇐㇐
喷	㇑㇕㇐㇐㇑㇐㇑㇑㇑㇕㇓㇔
凑	㇔㇀㇐㇐㇐㇓㇏㇐㇐㇓㇔
合	㇓㇏㇐㇑㇕㇐
着	㇔㇓㇐㇐㇐㇓㇑㇕㇐㇐㇐
晨	㇑㇕㇐㇐㇐㇓㇐㇐㇙㇓㇏
点	㇑㇐㇑㇕㇐㇔㇔㇔㇔
醒	㇐㇑㇕㇓㇗㇐㇐㇑㇕㇐㇐㇓㇐㇐㇑㇐
北	㇑㇐㇀㇓㇟
京	㇔㇐㇑㇕㇐㇚㇓㇔
牌	㇓㇑㇐㇕㇓㇑㇕㇐㇐㇓㇐㇑
虽	㇑㇕㇐㇑㇕㇐㇑㇐㇔
从	㇓㇔㇓㇏
备	㇓㇇㇏㇑㇕㇐㇑㇐
规	㇐㇐㇓㇔㇑㇕㇓㇟
思	㇑㇕㇐㇑㇐㇔㇂㇔㇔
居	㇕㇐㇓㇐㇑㇑㇕㇐
拼	㇐㇚㇀㇔㇓㇐㇐㇓㇑
起	㇐㇑㇐㇑㇐㇓㇏㇕㇐㇟
停	㇓㇑㇔㇐㇑㇕㇐㇔㇇㇐㇚
车	㇐㇜㇐㇑
归	㇑㇓㇕㇐㇐
管	㇓㇐㇔㇓㇐㇔㇔㇔㇇㇑㇕㇐㇕㇐
理	㇐㇐㇑㇀㇑㇕㇐㇐㇑㇐㇐
独	㇓㇁㇓㇑㇕㇐㇑㇐㇔
付	㇓㇑㇐㇚㇔
体	㇓㇑㇐㇑㇓㇏㇐
验	㇕㇉㇀㇓㇏㇐㇔㇔㇓㇐
稍	㇓㇐㇑㇓㇔㇑㇔㇓㇑㇆㇐㇐
微	㇓㇓㇑㇑㇗㇑㇐㇓㇊㇓㇐㇓㇏
其	㇐㇑㇑㇐㇐㇐㇓㇔
周	㇓㇆㇐㇑㇐㇑㇕㇐
门	㇔㇑㇆
口	㇑㇕㇐
堤	㇐㇑㇀㇑㇕㇐㇐㇐㇑㇐㇓㇏
树	㇐㇑㇓㇔㇇㇔㇐㇚㇔
成	㇐㇓㇆㇂㇓㇔
荫	㇐㇑㇑㇡㇑㇓㇆㇐㇐
散	㇐㇑㇑㇐㇑㇆㇐㇐㇓㇐㇓㇏
步	㇑㇐㇑㇐㇑㇓㇓
地	㇐㇑㇀㇆㇑㇟
出	㇗㇑㇑㇗㇑
往	㇓㇓㇑㇔㇐㇐㇑㇐
右	㇐㇓㇑㇕㇐
站	㇔㇐㇔㇓㇀㇑㇐㇑㇕㇐
央	㇑㇕㇐㇓㇏
工	㇐㇑㇐
艺	㇐㇑㇑㇈
附	㇡㇑㇓㇑㇐㇚㇔
对	㇇㇔㇐㇚㇔
鱼	㇓㇇㇑㇕㇐㇑㇐㇐
娘	㇛㇓㇐㇔㇕㇐㇐㇙㇓㇏
海	㇔㇔㇀㇓㇐㇗㇆㇔㇐㇔
鲜	㇓㇇㇑㇕㇐㇑㇐㇀㇔㇓㇐㇐㇐㇑
吃	㇑㇕㇐㇓㇐㇈
贵	㇑㇕㇐㇑㇐㇑㇕㇓㇔
力	㇆㇓
推	㇐㇚㇀㇓㇑㇔㇐㇐㇐㇑㇐
荐	㇐㇑㇑㇐㇓㇑㇇㇚㇐
游	㇔㇔㇀㇔㇐㇆㇓㇓㇐㇇㇚㇐
泳	㇔㇔㇀㇔㇆㇇㇓㇏
池	㇔㇔㇀㇆㇑㇟
提	㇐㇚㇀㇑㇕㇐㇐㇐㇑㇐㇓㇏
供	㇓㇑㇐㇑㇑㇐㇓㇔
咖	㇑㇕㇐㇆㇓㇑㇕㇐
啡	㇑㇕㇐㇑㇐㇐㇐㇑㇐㇐㇐
碰	㇐㇓㇑㇕㇐㇔㇓㇐㇑㇑㇔㇓㇐
你	㇓㇑㇓㇇㇚㇓㇔
巾	㇑㇆㇑
据	㇐㇚㇀㇕㇐㇓㇐㇑㇑㇕㇐
怕	㇔㇔㇑㇓㇑㇕㇐㇐
智	㇓㇐㇐㇓㇔㇑㇕㇐㇑㇕㇐㇐
能	㇜㇔㇑㇆㇐㇐㇓㇟㇓㇟
无	㇐㇐㇓㇟
如	㇛㇓㇐㇑㇕㇐
何	㇓㇑㇐㇑㇕㇐㇚
剂	㇔㇐㇓㇔㇓㇑㇑㇚
她	㇛㇓㇐㇆㇑㇟
营	㇐㇑㇑㇔㇇㇑㇕㇐㇑㇕㇐
企	㇓㇏㇑㇐㇑㇐
业	㇑㇑㇔㇓㇐
架	㇆㇓㇑㇕㇐㇐㇑㇓㇏
子	㇇㇚㇐
语	㇔㇊㇐㇑㇕㇐㇑㇕㇐
渔	㇔㇔㇀㇓㇇㇑㇕㇐㇑㇐㇐
阳	㇡㇑㇑㇕㇐㇐
习	㇆㇔㇀
惯	㇔㇔㇑㇗㇕㇑㇐㇑㇕㇓㇔
份	㇓㇑㇓㇏㇆㇓
接	㇐㇚㇀㇔㇐㇔㇓㇐㇛㇓㇐
待	㇓㇓㇑㇐㇑㇐㇐㇚㇔
员	㇑㇕㇐㇑㇕㇓㇔
情	㇔㇔㇑㇐㇐㇑㇐㇑㇆㇐㇐
让	㇔㇊㇑㇐㇐
再	㇐㇑㇆㇑㇐㇐
小	㇚㇓㇔
幸	㇐㇑㇐㇔㇓㇐㇐㇑
运	㇐㇐㇜㇔㇔㇋㇏
被	㇔㇇㇑㇓㇔㇇㇓㇑㇇㇏
升	㇓㇐㇓㇑
谢	㇔㇊㇓㇑㇆㇐㇐㇐㇓㇐㇚㇔
毛	㇓㇐㇐㇟
四	㇑㇕㇓㇗㇐
开	㇐㇐㇓㇑
线	㇜㇜㇀㇐㇐㇂㇓㇔
东	㇐㇜㇚㇓㇔
西	㇐㇑㇕㇓㇗㇐
竟	㇔㇐㇔㇓㇐㇑㇕㇐㇐㇓㇟
富	㇔㇔㇇㇐㇑㇕㇐㇑㇕㇐㇑㇐
丽	㇐㇑㇆㇔㇑㇆㇔
皇	㇓㇑㇕㇐㇐㇐㇐㇑㇐
陈	㇡㇑㇐㇜㇚㇓㇔
卫	㇆㇑㇐
毯	㇓㇐㇐㇟㇔㇓㇓㇔㇔㇓㇓㇔
脏	㇓㇆㇐㇐㇔㇐㇓㇐㇑㇐
褥	㇔㇇㇑㇓㇔㇐㇓㇐㇐㇙㇓㇏㇐㇚㇔
绒	㇜㇜㇀㇐㇐㇓㇂㇓㇔
漱	㇔㇔㇀㇐㇑㇕㇐㇑㇓㇔㇓㇇㇓㇏
简	㇓㇐㇔㇓㇐㇔㇔㇑㇆㇑㇕㇐㇐
直	㇐㇑㇑㇕㇐㇐㇐㇐
汉	㇔㇔㇀㇇㇏
庭	㇔㇐㇓㇓㇐㇑㇐㇋㇏
目	㇑㇕㇐㇐㇐
摆	㇐㇚㇀㇑㇕㇑㇑㇐㇐㇑㇐㇜㇔
炮	㇔㇓㇓㇔㇓㇆㇕㇐㇟
去	㇐㇑㇐㇜㇔
所	㇓㇓㇕㇐㇓㇓㇐㇑
决	㇔㇀㇕㇐㇓㇏
结	㇜㇜㇀㇐㇑㇐㇑㇕㇐
安	㇔㇔㇇㇛㇓㇐
排	㇐㇚㇀㇑㇐㇐㇐㇑㇐㇐㇐
角	㇓㇇㇓㇆㇐㇐㇑
吗	㇑㇕㇐㇕㇉㇐
行	㇓㇓㇑㇐㇐㇚
那	㇆㇐㇐㇓㇡㇑
只	㇑㇕㇐㇓㇔
尾	㇕㇐㇓㇓㇐㇐㇟
钱	㇓㇐㇐㇐㇙㇐㇐㇂㇓㇔
得	㇓㇓㇑㇑㇕㇐㇐㇐㇐㇚㇔
呗	㇑㇕㇐㇑㇕㇓㇔
失	㇓㇐㇐㇓㇏
望	㇔㇐㇙㇓㇆㇐㇐㇐㇐㇑㇐
任	㇓㇑㇓㇐㇑㇐
臭	㇓㇑㇕㇐㇐㇐㇐㇓㇏㇔
值	㇓㇑㇐㇑㇑㇕㇐㇐㇐㇐
另	㇑㇕㇐㇆㇓
越	㇐㇑㇐㇑㇐㇓㇏㇐㇙㇂㇓㇔
甩	㇓㇆㇐㇐㇟
玉	㇐㇐㇑㇐㇔
石	㇐㇓㇑㇕㇐
古	㇐㇑㇑㇕㇐
玩	㇐㇐㇑㇀㇐㇐㇓㇟
该	㇔㇊㇔㇐㇜㇓㇓㇔
啊	㇑㇕㇐㇡㇑㇐㇑㇕㇐㇚
三	㇐㇐㇐
或	㇐㇑㇕㇐㇀㇂㇓㇔
者	㇐㇑㇐㇓㇑㇕㇐㇐
快	㇔㇔㇑㇕㇐㇓㇏
轨	㇐㇜㇑㇀㇓㇈
例	㇓㇑㇐㇓㇇㇔㇑㇚
禁	㇐㇑㇓㇔㇐㇑㇓㇏㇐㇐㇚㇓㇔
漏	㇔㇔㇀㇕㇐㇓㇐㇑㇆㇑㇔㇔㇔㇔
坏	㇐㇑㇀㇐㇓㇑㇔
罩	㇑㇕㇑㇑㇐㇑㇐㇑㇕㇐㇐㇐㇑
知	㇓㇐㇐㇓㇔㇑㇕㇐
否	㇐㇓㇑㇔㇑㇕㇐
明	㇑㇕㇐㇐㇓㇆㇐㇐
显	㇑㇕㇐㇐㇑㇑㇔㇓㇐
血	㇓㇑㇕㇑㇑㇐
迹	㇔㇐㇓㇚㇓㇔㇔㇋㇏
灰	㇐㇓㇔㇓㇓㇏
屋	㇕㇐㇓㇐㇜㇔㇐㇑㇐
烟	㇔㇓㇓㇔㇑㇕㇐㇓㇔㇐
概	㇐㇑㇓㇔㇕㇐㇐㇙㇔㇐㇜㇓㇟
十	㇐㇑
路	㇑㇕㇐㇑㇐㇑㇀㇓㇇㇏㇑㇕㇐
共	㇐㇑㇑㇐㇓㇔
些	㇑㇐㇑㇀㇓㇟㇐㇐
像	㇓㇑㇓㇇㇑㇕㇐㇓㇁㇓㇓㇓㇏
样	㇐㇑㇓㇔㇔㇓㇐㇐㇐㇑
坐	㇓㇔㇓㇔㇐㇑㇐
红	㇜㇜㇀㇐㇑㇐
飞	㇈㇓㇔
躺	㇓㇑㇆㇐㇐㇐㇓㇑㇔㇓㇑㇆㇑㇕㇐
烧	㇔㇓㇓㇔㇐㇂㇓㇐㇓㇟
壶	㇐㇑㇐㇔㇇㇑㇑㇔㇓㇐
源	㇔㇔㇀㇐㇓㇓㇑㇕㇐㇐㇚㇓㇔
裸	㇔㇇㇑㇓㇔㇑㇕㇐㇐㇐㇑㇓㇏
露	㇐㇔㇇㇑㇔㇔㇔㇔㇑㇕㇐㇑㇐㇑㇀㇓㇇㇏㇑㇕㇐
声	㇐㇑㇐㇕㇑㇐㇓
满	㇔㇔㇀㇐㇑㇑㇐㇑㇆㇓㇔㇓㇔
旅	㇔㇐㇆㇓㇓㇐㇓㇙㇓㇏
希	㇓㇔㇐㇓㇑㇆㇑
引	㇕㇐㇉㇑
